node,points
pursuit of knowledge,30
eureka!,0
detail oriented,0
multitasking,0
pursuit of perfection,0
improved ciphers,-1
improved milling,-1
improved inks,0
careful carvings,0
combative curiosities,0
polished production,-1
staves,-1
torches,0
scribe's quill,-1
alchemist's mixing rod,-1
chef's rolling pin,-1
archival additions,30
cryptic collection,26
runic research,30
darkmoon sigil: radiance,0
darkmoon sigil: symbiosis,-1
darkmoon sigil: vivacity,0
darkmoon sigil: ascension,0
contracts,0
missives,0
vantus runes,30
